t,MV,PV,DV
0.000000000000000000e+00,1.000000000000000000e+02,2.950000000000000000e+01,1.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+02,2.953999999999999915e+01,1.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+02,2.960000000000000142e+01,1.000000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+02,2.953999999999999915e+01,1.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+02,2.966000000000000014e+01,1.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+02,2.962999999999999901e+01,1.000000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+02,2.962999999999999901e+01,1.000000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+02,2.976000000000000156e+01,1.000000000000000000e+01
8.000000000000000000e+00,1.000000000000000000e+02,2.989000000000000057e+01,1.000000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+02,2.985999999999999943e+01,1.000000000000000000e+01
1.000000000000000000e+01,9.988323136138687630e+01,3.017999999999999972e+01,1.000000000000000000e+01
1.100000000000000000e+01,1.000000000000000000e+02,3.023999999999999844e+01,1.000000000000000000e+01
1.200000000000000000e+01,9.993851401045232308e+01,3.053000000000000114e+01,1.000000000000000000e+01
1.300000000000000000e+01,1.000000000000000000e+02,3.062999999999999901e+01,1.000000000000000000e+01
1.400000000000000000e+01,1.000000000000000000e+02,3.089000000000000057e+01,1.000000000000000000e+01
1.500000000000000000e+01,1.000000000000000000e+02,3.089000000000000057e+01,1.000000000000000000e+01
1.600000000000000000e+01,9.990831066461211662e+01,3.114999999999999858e+01,1.000000000000000000e+01
1.700000000000000000e+01,9.939141411768764556e+01,3.146999999999999886e+01,1.000000000000000000e+01
1.800000000000000000e+01,9.944909363944503866e+01,3.169000000000000128e+01,1.000000000000000000e+01
1.900000000000000000e+01,9.958781697571791369e+01,3.189000000000000057e+01,1.000000000000000000e+01
2.000000000000000000e+01,9.956080460649448582e+01,3.210999999999999943e+01,1.000000000000000000e+01
2.100000000000000000e+01,9.861990028399516461e+01,3.246999999999999886e+01,1.000000000000000000e+01
2.200000000000000000e+01,9.807366098875098714e+01,3.275999999999999801e+01,1.000000000000000000e+01
2.300000000000000000e+01,9.792655394804742741e+01,3.297999999999999687e+01,1.000000000000000000e+01
2.400000000000000000e+01,9.687121237385603933e+01,3.334000000000000341e+01,1.000000000000000000e+01
2.500000000000000000e+01,9.640323922109381272e+01,3.360000000000000142e+01,1.000000000000000000e+01
2.600000000000000000e+01,9.552843998592737762e+01,3.392000000000000171e+01,1.000000000000000000e+01
2.700000000000000000e+01,9.499562225515191471e+01,3.417999999999999972e+01,1.000000000000000000e+01
2.800000000000000000e+01,9.468343053910190577e+01,3.439999999999999858e+01,1.000000000000000000e+01
2.900000000000000000e+01,9.428230921272540854e+01,3.463000000000000256e+01,1.000000000000000000e+01
3.000000000000000000e+01,9.210652885317632865e+01,3.514000000000000057e+01,1.000000000000000000e+01
3.100000000000000000e+01,9.208203195543453035e+01,3.529999999999999716e+01,1.000000000000000000e+01
3.200000000000000000e+01,9.078727495043779072e+01,3.565999999999999659e+01,1.000000000000000000e+01
3.300000000000000000e+01,8.971500129990229766e+01,3.597999999999999687e+01,1.000000000000000000e+01
3.400000000000000000e+01,8.843030700047044945e+01,3.632999999999999829e+01,1.000000000000000000e+01
3.500000000000000000e+01,8.743264520990273070e+01,3.663000000000000256e+01,1.000000000000000000e+01
3.600000000000000000e+01,8.647480380873713557e+01,3.692000000000000171e+01,1.000000000000000000e+01
3.700000000000000000e+01,8.574529953534496940e+01,3.717000000000000171e+01,1.000000000000000000e+01
3.800000000000000000e+01,8.493399267907017247e+01,3.742999999999999972e+01,1.000000000000000000e+01
3.900000000000000000e+01,8.391623593976058260e+01,3.771999999999999886e+01,1.000000000000000000e+01
4.000000000000000000e+01,8.306630098481562641e+01,3.797999999999999687e+01,1.000000000000000000e+01
4.100000000000000000e+01,8.201107567211781202e+01,3.827000000000000313e+01,1.000000000000000000e+01
4.200000000000000000e+01,8.112476487572114081e+01,3.853000000000000114e+01,1.000000000000000000e+01
4.300000000000000000e+01,8.028404436647279852e+01,3.878000000000000114e+01,1.000000000000000000e+01
4.400000000000000000e+01,7.992700835227016398e+01,3.895000000000000284e+01,1.000000000000000000e+01
4.500000000000000000e+01,7.905763739988486805e+01,3.920000000000000284e+01,1.000000000000000000e+01
4.600000000000000000e+01,7.767337145843691815e+01,3.953000000000000114e+01,1.000000000000000000e+01
4.700000000000000000e+01,7.633377044367286146e+01,3.985000000000000142e+01,1.000000000000000000e+01
4.800000000000000000e+01,7.660115973100808162e+01,3.990999999999999659e+01,1.000000000000000000e+01
4.900000000000000000e+01,7.579958035909875491e+01,4.014000000000000057e+01,1.000000000000000000e+01
5.000000000000000000e+01,7.523482222796121732e+01,4.032999999999999829e+01,1.000000000000000000e+01
5.100000000000000000e+01,7.422151467087428500e+01,4.059000000000000341e+01,1.000000000000000000e+01
5.200000000000000000e+01,7.381922755568277239e+01,4.075000000000000000e+01,1.000000000000000000e+01
5.300000000000000000e+01,7.378206596937253892e+01,4.085000000000000142e+01,1.000000000000000000e+01
5.400000000000000000e+01,7.236351313585203116e+01,4.117000000000000171e+01,1.000000000000000000e+01
5.500000000000000000e+01,7.192926207697625784e+01,4.132999999999999829e+01,1.000000000000000000e+01
5.600000000000000000e+01,7.229803903608154769e+01,4.135999999999999943e+01,1.000000000000000000e+01
5.700000000000000000e+01,7.141358338728042554e+01,4.159000000000000341e+01,1.000000000000000000e+01
5.800000000000000000e+01,7.058040917604607500e+01,4.181000000000000227e+01,1.000000000000000000e+01
5.900000000000000000e+01,6.986147733677232452e+01,4.200999999999999801e+01,1.000000000000000000e+01
6.000000000000000000e+01,6.919522869255986564e+01,4.220000000000000284e+01,1.000000000000000000e+01
6.100000000000000000e+01,6.889451160684919273e+01,4.232999999999999829e+01,1.000000000000000000e+01
6.200000000000000000e+01,6.802473210985469620e+01,4.254999999999999716e+01,1.000000000000000000e+01
6.300000000000000000e+01,6.808183119213893519e+01,4.261999999999999744e+01,1.000000000000000000e+01
6.400000000000000000e+01,6.794713542376572946e+01,4.271999999999999886e+01,1.000000000000000000e+01
6.500000000000000000e+01,6.705749098746049697e+01,4.293999999999999773e+01,1.000000000000000000e+01
6.600000000000000000e+01,6.653288852223825245e+01,4.310000000000000142e+01,1.000000000000000000e+01
6.700000000000000000e+01,6.681288890403175174e+01,4.313000000000000256e+01,1.000000000000000000e+01
6.800000000000000000e+01,6.684054348413982893e+01,4.320000000000000284e+01,1.000000000000000000e+01
6.900000000000000000e+01,6.648954758872903881e+01,4.332999999999999829e+01,1.000000000000000000e+01
7.000000000000000000e+01,6.575773641984794438e+01,4.352000000000000313e+01,1.000000000000000000e+01
7.100000000000000000e+01,6.539251192193901829e+01,4.364999999999999858e+01,1.000000000000000000e+01
7.200000000000000000e+01,6.545863218072707923e+01,4.371000000000000085e+01,1.000000000000000000e+01
7.300000000000000000e+01,6.483442113200324286e+01,4.388000000000000256e+01,1.000000000000000000e+01
7.400000000000000000e+01,6.426543270865413149e+01,4.403999999999999915e+01,1.000000000000000000e+01
7.500000000000000000e+01,6.368960772506328283e+01,4.420000000000000284e+01,1.000000000000000000e+01
7.600000000000000000e+01,6.373164946822134169e+01,4.425999999999999801e+01,1.000000000000000000e+01
7.700000000000000000e+01,6.314604156215612107e+01,4.442000000000000171e+01,1.000000000000000000e+01
7.800000000000000000e+01,6.255377353009527042e+01,4.457999999999999829e+01,1.000000000000000000e+01
7.900000000000000000e+01,6.270444335226163446e+01,4.461999999999999744e+01,1.000000000000000000e+01
8.000000000000000000e+01,6.310284743431754606e+01,4.461999999999999744e+01,1.000000000000000000e+01
8.100000000000000000e+01,6.168920705782443292e+01,4.490999999999999659e+01,1.000000000000000000e+01
8.200000000000000000e+01,6.151352872474100764e+01,4.500000000000000000e+01,1.000000000000000000e+01
8.300000000000000000e+01,6.189612345741159771e+01,4.500000000000000000e+01,1.000000000000000000e+01
8.400000000000000000e+01,6.121634025097696963e+01,4.517000000000000171e+01,1.000000000000000000e+01
8.500000000000000000e+01,6.121690429919867427e+01,4.522999999999999687e+01,1.000000000000000000e+01
8.600000000000000000e+01,6.096493417588774832e+01,4.532999999999999829e+01,1.000000000000000000e+01
8.700000000000000000e+01,6.133349554212724541e+01,4.532999999999999829e+01,1.000000000000000000e+01
8.800000000000000000e+01,6.070224839818983753e+01,4.549000000000000199e+01,1.000000000000000000e+01
8.900000000000000000e+01,6.050196245238506521e+01,4.557999999999999829e+01,1.000000000000000000e+01
9.000000000000000000e+01,6.123494940939735898e+01,4.552000000000000313e+01,1.000000000000000000e+01
9.100000000000000000e+01,6.140768286379168472e+01,4.554999999999999716e+01,1.000000000000000000e+01
9.200000000000000000e+01,6.014235466033044730e+01,4.581000000000000227e+01,1.000000000000000000e+01
9.300000000000000000e+01,6.030376535346803024e+01,4.584000000000000341e+01,1.000000000000000000e+01
9.400000000000000000e+01,6.046376364982988605e+01,4.586999999999999744e+01,1.000000000000000000e+01
9.500000000000000000e+01,6.018516372120038227e+01,4.596999999999999886e+01,1.000000000000000000e+01
9.600000000000000000e+01,6.009001761075019488e+01,4.603999999999999915e+01,1.000000000000000000e+01
9.700000000000000000e+01,5.942986437228792340e+01,4.620000000000000284e+01,1.000000000000000000e+01
9.800000000000000000e+01,5.957559209868178129e+01,4.622999999999999687e+01,1.000000000000000000e+01
9.900000000000000000e+01,5.971999631457516955e+01,4.625999999999999801e+01,1.000000000000000000e+01
1.000000000000000000e+02,5.942586426744123429e+01,4.635999999999999943e+01,1.000000000000000000e+01
