t,MV,MVP,MVI,MVD,SP,PV,DV,Man
1.700000000000000000e+01,1.000000000000000000e+02,1.177177982214918472e+02,-2.473587137553090187e+01,-6.790765251489566095e-06,5.500000000000000000e+01,3.603999999999999915e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,9.963638043686069068e+01,1.161035246171886968e+02,-2.403462294000464539e+01,-5.884425104685564781e-05,5.500000000000000000e+01,3.629999999999999716e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,9.941484408287422525e+01,1.146755133518435770e+02,-2.334199948523619739e+01,-5.205645580427639338e-05,5.500000000000000000e+01,3.653000000000000114e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,9.940123301775710729e+01,1.134958518717758977e+02,-2.265650101457202936e+01,-4.300328475687175675e-05,5.500000000000000000e+01,3.671999999999999886e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,9.991152971829514229e+01,1.128749774085823674e+02,-2.197475253554168972e+01,-2.263387661056111942e-05,5.500000000000000000e+01,3.682000000000000028e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,9.982675403200974529e+01,1.116953159285146882e+02,-2.130012904061562651e+01,-4.300221223586375013e-05,5.500000000000000000e+01,3.700999999999999801e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,9.945778500452573212e+01,1.102673046631695541e+02,-2.063413052644737533e+01,-5.205587832535034636e-05,5.500000000000000000e+01,3.724000000000000199e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,9.949199022332940956e+01,1.092739055220599482e+02,-1.997413199889325242e+01,-3.621359202338616612e-05,5.500000000000000000e+01,3.739999999999999858e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,9.887172214734803788e+01,1.076596319177567977e+02,-1.932388344958708615e+01,-5.884532357688845167e-05,5.500000000000000000e+01,3.765999999999999659e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,9.865671446347546691e+01,1.064799704376890759e+02,-1.868075988438519985e+01,-4.300353222679293954e-05,5.500000000000000000e+01,3.785000000000000142e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,9.860113972769752877e+01,1.054865712965794557e+02,-1.804363630579744182e+01,-3.621326204445065303e-05,5.500000000000000000e+01,3.800999999999999801e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,9.808283599080168358e+01,1.040585600312343360e+02,-1.741513770796749228e+01,-5.205563085242641145e-05,5.500000000000000000e+01,3.824000000000000199e+01,1.000000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,9.816236433514592363e+01,1.032514232290827891e+02,-1.679151409926152283e+01,-2.942389930193005948e-05,5.500000000000000000e+01,3.836999999999999744e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,9.765778820978549390e+01,1.018854994100569940e+02,-1.617614047214997797e+01,-4.979215246031953624e-05,5.500000000000000000e+01,3.859000000000000341e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,9.806603334697065577e+01,1.014508872858215796e+02,-1.556339183918211511e+01,-1.584443136804141795e-05,5.500000000000000000e+01,3.865999999999999659e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.200000000000000000e+01,9.670772096106276194e+01,9.927782666464423755e+01,-1.496376817693265870e+01,-7.921365921121430414e-05,5.500000000000000000e+01,3.900999999999999801e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.300000000000000000e+01,9.588460857918482816e+01,9.766355306034104444e+01,-1.437389449293116073e+01,-5.884689102871339643e-05,5.500000000000000000e+01,3.927000000000000313e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.400000000000000000e+01,9.666279078100437516e+01,9.766355306034104444e+01,-1.378402080892966275e+01,-2.145105174788330232e-09,5.500000000000000000e+01,3.927000000000000313e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.500000000000000000e+01,9.524247648214479511e+01,9.549049243916375929e+01,-1.320727209564657123e+01,-7.921308172326646177e-05,5.500000000000000000e+01,3.961999999999999744e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.600000000000000000e+01,9.417252164398227876e+01,9.368995649590254970e+01,-1.264139835810158630e+01,-6.563658372009616409e-05,5.500000000000000000e+01,3.990999999999999659e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,9.264378082530087966e+01,9.145480842840582625e+01,-1.208902459043839173e+01,-8.147870515438469395e-05,5.500000000000000000e+01,4.027000000000000313e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.800000000000000000e+01,9.196610795786439496e+01,9.008888460938008791e+01,-1.154490080436962351e+01,-4.979404997829133981e-05,5.500000000000000000e+01,4.049000000000000199e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.900000000000000000e+01,9.139577480129619858e+01,8.884713568299305564e+01,-1.100827700156851563e+01,-4.526643319109542482e-05,5.500000000000000000e+01,4.068999999999999773e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+01,9.105909181329724333e+01,8.785373654188340709e+01,-1.047765318538153601e+01,-3.621334453242203540e-05,5.500000000000000000e+01,4.085000000000000142e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.100000000000000000e+01,9.070826032175935438e+01,8.686033740077378695e+01,-9.953029355808684642e+00,-3.621301452641688076e-05,5.500000000000000000e+01,4.100999999999999801e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.200000000000000000e+01,8.953177620670055603e+01,8.505980145751257737e+01,-9.439280501973939863e+00,-6.563501626827250004e-05,5.500000000000000000e+01,4.129999999999999716e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.300000000000000000e+01,8.933676422213150659e+01,8.425266465536098792e+01,-8.930406637263175185e+00,-2.942439430191241145e-05,5.500000000000000000e+01,4.142999999999999972e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.400000000000000000e+01,8.875539685467173001e+01,8.307300317529330869e+01,-8.428657756656686928e+00,-4.300245976592667775e-05,5.500000000000000000e+01,4.161999999999999744e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.500000000000000000e+01,8.816069390325182553e+01,8.189334169522558682e+01,-7.934033860154476869e+00,-4.300295471779373312e-05,5.500000000000000000e+01,4.181000000000000227e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.600000000000000000e+01,8.811522790184918108e+01,8.127246723203209910e+01,-7.443159955286096974e+00,-2.263387659852882328e-05,5.500000000000000000e+01,4.190999999999999659e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.700000000000000000e+01,8.806054862499173908e+01,8.065159276883856876e+01,-6.956036042051547241e+00,-2.263313409855948136e-05,5.500000000000000000e+01,4.200999999999999801e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.800000000000000000e+01,8.762224121473744276e+01,7.965819362772890599e+01,-6.474912115431126658e+00,-3.621251949636393420e-05,5.500000000000000000e+01,4.217000000000000171e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.900000000000000000e+01,8.654854053543171233e+01,7.804392002342575552e+01,-6.003538167058664499e+00,-5.884532353779236527e-05,5.500000000000000000e+01,4.242999999999999972e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+01,8.708474385170869425e+01,7.804392002342575552e+01,-5.532164218686202339e+00,-2.145048036121743956e-09,5.500000000000000000e+01,4.242999999999999972e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.100000000000000000e+01,8.580524934459830888e+01,7.624338408016454594e+01,-5.071665246051847653e+00,-6.563369629839569113e-05,5.500000000000000000e+01,4.271999999999999886e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.200000000000000000e+01,8.594774128262035617e+01,7.587085940224842773e+01,-4.613416268397791065e+00,-1.358177792478165566e-05,5.500000000000000000e+01,4.278000000000000114e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.300000000000000000e+01,8.502239102162945983e+01,7.444284813690333635e+01,-4.163792271501543851e+00,-5.205480588252665885e-05,5.500000000000000000e+01,4.300999999999999801e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.400000000000000000e+01,8.477216196319528763e+01,7.369779878107108573e+01,-3.718668264565893278e+00,-2.716066836771509991e-05,5.500000000000000000e+01,4.313000000000000256e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.500000000000000000e+01,8.320246575826887181e+01,7.164891305253247822e+01,-3.285919230021882687e+00,-7.468760990591445366e-05,5.500000000000000000e+01,4.346000000000000085e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.600000000000000000e+01,8.186732394089196418e+01,6.984837710927126864e+01,-2.864045171215979568e+00,-6.563641875618994083e-05,5.500000000000000000e+01,4.375000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.700000000000000000e+01,8.151794942243958531e+01,6.904124030711966498e+01,-2.447046101534056106e+00,-2.942439435303633859e-05,5.500000000000000000e+01,4.388000000000000256e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.800000000000000000e+01,8.059887777345146276e+01,6.767531648809392664e+01,-2.038297013446559003e+00,-4.979215247836368260e-05,5.500000000000000000e+01,4.410000000000000142e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.900000000000000000e+01,7.960667699879716963e+01,6.624730522274884947e+01,-1.638172906116871497e+00,-5.205612583436231651e-05,5.500000000000000000e+01,4.432999999999999829e+01,1.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+01,7.922822359040688411e+01,6.544016842059724581e+01,-1.242923787911163425e+00,-2.942389931997490380e-05,5.500000000000000000e+01,4.446000000000000085e+01,1.000000000000000000e+01,0.000000000000000000e+00
6.100000000000000000e+01,7.828056073670596504e+01,6.407424460157150747e+01,-8.559246512998817114e-01,-4.979215246031858078e-05,5.500000000000000000e+01,4.467999999999999972e+01,1.000000000000000000e+01,0.000000000000000000e+00
6.200000000000000000e+01,7.869690039585717045e+01,6.407424460157150747e+01,-4.689255146886000536e-01,-1.815039028219229852e-09,5.500000000000000000e+01,4.467999999999999972e+01,1.000000000000000000e+01,0.000000000000000000e+00
6.300000000000000000e+01,7.811189248939561480e+01,6.308084546046185181e+01,-8.792636469144693434e-02,-3.621169453248260819e-05,5.500000000000000000e+01,4.484000000000000341e+01,1.000000000000000000e+01,0.000000000000000000e+00
6.400000000000000000e+01,7.789396727327215331e+01,6.245997099726836410e+01,2.893227936718761328e-01,-2.263362904140027920e-05,5.500000000000000000e+01,4.493999999999999773e+01,1.000000000000000000e+01,0.000000000000000000e+00
6.500000000000000000e+01,7.792050836285650917e+01,6.208744631935223879e+01,6.643219570549010466e-01,-1.358021047295579440e-05,5.500000000000000000e+01,4.500000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00
6.600000000000000000e+01,7.725615515088929897e+01,6.103195973192323720e+01,1.032946134660414295e+00,-3.847542040052073765e-05,5.500000000000000000e+01,4.517000000000000171e+01,1.000000000000000000e+01,0.000000000000000000e+00
6.700000000000000000e+01,7.689635058926822353e+01,6.028691037609102921e+01,1.397070322305331569e+00,-2.716017336773033559e-05,5.500000000000000000e+01,4.528999999999999915e+01,1.000000000000000000e+01,0.000000000000000000e+00
6.800000000000000000e+01,7.703041984464458380e+01,6.003856059081362417e+01,1.759694513296716778e+00,-9.053913667666824532e-06,5.500000000000000000e+01,4.532999999999999829e+01,1.000000000000000000e+01,0.000000000000000000e+00
6.900000000000000000e+01,7.703679529972589535e+01,5.966603591289749176e+01,2.120068709307803445e+00,-1.357971546094732455e-05,5.500000000000000000e+01,4.539000000000000057e+01,1.000000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+01,7.722715380031986854e+01,5.947977357393943265e+01,2.479317907828741063e+00,-6.790187724446796068e-06,5.500000000000000000e+01,4.542000000000000171e+01,1.000000000000000000e+01,0.000000000000000000e+00
7.100000000000000000e+01,7.716543150269801288e+01,5.904516144970396141e+01,2.835942112205997567e+00,-1.584286384704967023e-05,5.500000000000000000e+01,4.549000000000000199e+01,1.000000000000000000e+01,0.000000000000000000e+00
7.200000000000000000e+01,7.653789124807684630e+01,5.805176230859434838e+01,3.186566329969125810e+00,-3.621227197531915631e-05,5.500000000000000000e+01,4.564999999999999858e+01,1.000000000000000000e+01,0.000000000000000000e+00
7.300000000000000000e+01,7.571602357521841498e+01,5.687210082852662651e+01,3.530065563627976299e+00,-4.300270719975645073e-05,5.500000000000000000e+01,4.584000000000000341e+01,1.000000000000000000e+01,0.000000000000000000e+00
7.400000000000000000e+01,7.544832809524983475e+01,5.625122636533313880e+01,3.869814805652997070e+00,-2.263387658950621816e-05,5.500000000000000000e+01,4.593999999999999773e+01,1.000000000000000000e+01,0.000000000000000000e+00
7.500000000000000000e+01,7.623792799230454875e+01,5.668583848956861004e+01,4.212189041821698510e+00,1.584179127190560261e-05,5.500000000000000000e+01,4.586999999999999744e+01,1.000000000000000000e+01,0.000000000000000000e+00
7.600000000000000000e+01,7.696686932683299176e+01,5.705836316748469272e+01,4.556813272970698492e+00,1.357996289477136143e-05,5.500000000000000000e+01,4.581000000000000227e+01,1.000000000000000000e+01,0.000000000000000000e+00
7.700000000000000000e+01,7.632310939076512568e+01,5.606496402637507259e+01,4.895437517505570213e+00,-3.621119944528745021e-05,5.500000000000000000e+01,4.596999999999999886e+01,1.000000000000000000e+01,0.000000000000000000e+00
7.800000000000000000e+01,7.704694007908994990e+01,5.643748870429120501e+01,5.236311757020740032e+00,1.357806544296542980e-05,5.500000000000000000e+01,4.590999999999999659e+01,1.000000000000000000e+01,0.000000000000000000e+00
7.900000000000000000e+01,7.683536167969320729e+01,5.587870168741701349e+01,5.573811004065462704e+00,-2.036858318544075740e-05,5.500000000000000000e+01,4.600000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00
8.000000000000000000e+01,7.674477423013387067e+01,5.544408956318154225e+01,5.908685256966504262e+00,-1.584335881094427157e-05,5.500000000000000000e+01,4.607000000000000028e+01,1.000000000000000000e+01,0.000000000000000000e+00
8.100000000000000000e+01,7.590142190453786952e+01,5.426442808311386301e+01,6.236434525763268510e+00,-4.300196470579688551e-05,5.500000000000000000e+01,4.625999999999999801e+01,1.000000000000000000e+01,0.000000000000000000e+00
8.200000000000000000e+01,7.561263134477756864e+01,5.364355361992033266e+01,6.560433802926201707e+00,-2.263387656244220767e-05,5.500000000000000000e+01,4.635999999999999943e+01,1.000000000000000000e+01,0.000000000000000000e+00
8.300000000000000000e+01,7.475739898799237437e+01,5.246389213985265343e+01,6.877308095984857594e+00,-4.300221223586200186e-05,5.500000000000000000e+01,4.654999999999999716e+01,1.000000000000000000e+01,0.000000000000000000e+00
8.400000000000000000e+01,7.508143395926741448e+01,5.246389213985265343e+01,7.194182389043513481e+00,-1.567530015298251166e-09,5.500000000000000000e+01,4.654999999999999716e+01,1.000000000000000000e+01,0.000000000000000000e+00
8.500000000000000000e+01,7.478035081613224122e+01,5.184301767665912308e+01,7.507306690468339205e+00,-2.263230909859004219e-05,5.500000000000000000e+01,4.664999999999999858e+01,1.000000000000000000e+01,0.000000000000000000e+00
8.600000000000000000e+01,7.428774573667122638e+01,5.103588087450753363e+01,7.815556002769185717e+00,-2.942282675385563342e-05,5.500000000000000000e+01,4.678000000000000114e+01,1.000000000000000000e+01,0.000000000000000000e+00
8.700000000000000000e+01,7.522658610113174404e+01,5.165675533770106398e+01,8.127555306703861504e+00,2.263123651141780857e-05,5.500000000000000000e+01,4.667999999999999972e+01,1.000000000000000000e+01,0.000000000000000000e+00
8.800000000000000000e+01,7.516933852603749244e+01,5.128423065978493156e+01,8.437304615658240081e+00,-1.357856046399803790e-05,5.500000000000000000e+01,4.674000000000000199e+01,1.000000000000000000e+01,0.000000000000000000e+00
8.900000000000000000e+01,7.523447859606901034e+01,5.103588087450753363e+01,8.745553927959086593e+00,-9.053418586489000465e-06,5.500000000000000000e+01,4.678000000000000114e+01,1.000000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+01,7.436083661906738485e+01,4.985621939443985440e+01,9.046678256155654907e+00,-4.300171719678395991e-05,5.500000000000000000e+01,4.696999999999999886e+01,1.000000000000000000e+01,0.000000000000000000e+00
9.100000000000000000e+01,7.429185764692778093e+01,4.948369471652372198e+01,9.345552589371925123e+00,-1.358095293684027238e-05,5.500000000000000000e+01,4.703000000000000114e+01,1.000000000000000000e+01,0.000000000000000000e+00
9.200000000000000000e+01,7.434525995049358471e+01,4.923534493124632405e+01,9.642926925934663274e+00,-9.053418673700164930e-06,5.500000000000000000e+01,4.707000000000000028e+01,1.000000000000000000e+01,0.000000000000000000e+00
9.300000000000000000e+01,7.345993562060938586e+01,4.805568345117864482e+01,9.933176278393125003e+00,-4.300171719678713797e-05,5.500000000000000000e+01,4.725999999999999801e+01,1.000000000000000000e+01,0.000000000000000000e+00
9.400000000000000000e+01,7.337932611818941098e+01,4.768315877326251240e+01,1.022117563587128863e+01,-1.358095293684027238e-05,5.500000000000000000e+01,4.732000000000000028e+01,1.000000000000000000e+01,0.000000000000000000e+00
9.500000000000000000e+01,7.385839931491179300e+01,4.786942111222057861e+01,1.051029999083960043e+01,6.789197655314641197e-06,5.500000000000000000e+01,4.728999999999999915e+01,1.000000000000000000e+01,0.000000000000000000e+00
9.600000000000000000e+01,7.352632976807241505e+01,4.724854664902704826e+01,1.079567435417408205e+01,-2.263206155950539376e-05,5.500000000000000000e+01,4.739000000000000057e+01,1.000000000000000000e+01,0.000000000000000000e+00
9.700000000000000000e+01,7.381499377034444365e+01,4.724854664902704826e+01,1.108104871750856368e+01,-8.249909471637979137e-10,5.500000000000000000e+01,4.739000000000000057e+01,1.000000000000000000e+01,0.000000000000000000e+00
9.800000000000000000e+01,7.329141329903225710e+01,4.644140984687545171e+01,1.136154809171906699e+01,-2.942200178395792387e-05,5.500000000000000000e+01,4.752000000000000313e+01,1.000000000000000000e+01,0.000000000000000000e+00
9.900000000000000000e+01,7.320007112687245865e+01,4.606888516895936903e+01,1.163979747094927220e+01,-1.358045792482876846e-05,5.500000000000000000e+01,4.757999999999999829e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+02,7.366848719371942877e+01,4.625514750791743523e+01,1.191917184766962556e+01,6.789197673358973061e-06,5.500000000000000000e+01,4.754999999999999716e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.010000000000000000e+02,7.276363608413578277e+01,4.507548602784971337e+01,1.219142124028570073e+01,-4.300113969681017414e-05,5.500000000000000000e+01,4.774000000000000199e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.020000000000000000e+02,7.303840046756647553e+01,4.507548602784971337e+01,1.246367063290177590e+01,-1.567490918771144717e-09,5.500000000000000000e+01,4.774000000000000199e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.030000000000000000e+02,7.206369772671475005e+01,4.383373710146269531e+01,1.272842004225019075e+01,-4.526461814003695817e-05,5.500000000000000000e+01,4.793999999999999773e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.040000000000000000e+02,7.214331861337078067e+01,4.364747476250462910e+01,1.299204445410845743e+01,-6.791342712374134057e-06,5.500000000000000000e+01,4.796999999999999886e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.050000000000000000e+02,7.240905617668633454e+01,4.364747476250462910e+01,1.325566886596672411e+01,-2.475601368467618358e-10,5.500000000000000000e+01,4.796999999999999886e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.060000000000000000e+02,7.248728606161805033e+01,4.346121242354656289e+01,1.351816828033484086e+01,-6.789692721459285553e-06,5.500000000000000000e+01,4.800000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.070000000000000000e+02,7.293908598039227797e+01,4.364747476250462910e+01,1.378179269219310754e+01,6.789445212444281335e-06,5.500000000000000000e+01,4.796999999999999886e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.080000000000000000e+02,7.257986240869924188e+01,4.302660029931109875e+01,1.404166711241754406e+01,-2.263206155048136224e-05,5.500000000000000000e+01,4.807000000000000028e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.090000000000000000e+02,7.246668930996187896e+01,4.265407562139496633e+01,1.429929153766168248e+01,-1.358021041581712696e-05,5.500000000000000000e+01,4.813000000000000256e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.100000000000000000e+02,7.253856902325618705e+01,4.246781328243694986e+01,1.455579096541567097e+01,-6.790187742487435716e-06,5.500000000000000000e+01,4.815999999999999659e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.110000000000000000e+02,7.235938101247201359e+01,4.203320115820148573e+01,1.480966539902597923e+01,-1.584286384705032753e-05,5.500000000000000000e+01,4.822999999999999687e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.120000000000000000e+02,7.180271653705088397e+01,4.122606435604988917e+01,1.505866484351230739e+01,-2.942257926288561752e-05,5.500000000000000000e+01,4.835999999999999943e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.130000000000000000e+02,7.149098173486481755e+01,4.066727733917569765e+01,1.530428929552818929e+01,-2.037015065831596506e-05,5.500000000000000000e+01,4.845000000000000284e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.140000000000000000e+02,7.092594052810233052e+01,3.986014053702414373e+01,1.554503875842009109e+01,-2.942274429295096527e-05,5.500000000000000000e+01,4.857999999999999829e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.150000000000000000e+02,7.016857968643503796e+01,3.886674139591448807e+01,1.577978823469786462e+01,-3.621276699334649151e-05,5.500000000000000000e+01,4.874000000000000199e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.160000000000000000e+02,7.040460511311279390e+01,3.886674139591448807e+01,1.601453771097563816e+01,-1.320039045612941567e-09,5.500000000000000000e+01,4.874000000000000199e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.170000000000000000e+02,7.045314778796036137e+01,3.868047905695642186e+01,1.624816218976326354e+01,-6.789692760553620283e-06,5.500000000000000000e+01,4.877000000000000313e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.180000000000000000e+02,6.943862302493010930e+01,3.743873013056940380e+01,1.647428668528322859e+01,-4.526486558289057971e-05,5.500000000000000000e+01,4.896999999999999886e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.190000000000000000e+02,6.929109652020274268e+01,3.706620545265327848e+01,1.669816118582289377e+01,-1.358103543382914548e-05,5.500000000000000000e+01,4.903000000000000114e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+02,6.851659792725145337e+01,3.607280631154366546e+01,1.691603569974843069e+01,-3.621218952644634722e-05,5.500000000000000000e+01,4.918999999999999773e+01,1.000000000000000000e+01,0.000000000000000000e+00
