t,MV,PV,DV
4.900000000000000000e+01,6.913080919720057693e+01,3.621000000000000085e+01,1.000000000000000000e+01
5.000000000000000000e+01,6.883601991833567979e+01,3.636999999999999744e+01,1.000000000000000000e+01
5.100000000000000000e+01,6.834785010535854610e+01,3.656000000000000227e+01,1.000000000000000000e+01
5.200000000000000000e+01,6.785256209821736206e+01,3.675000000000000000e+01,1.000000000000000000e+01
5.300000000000000000e+01,6.747507852464667621e+01,3.692000000000000171e+01,1.000000000000000000e+01
5.400000000000000000e+01,6.696628602157443311e+01,3.710999999999999943e+01,1.000000000000000000e+01
5.500000000000000000e+01,6.663776718667058674e+01,3.727000000000000313e+01,1.000000000000000000e+01
5.600000000000000000e+01,6.611584744973151828e+01,3.746000000000000085e+01,1.000000000000000000e+01
5.700000000000000000e+01,6.552434480917226267e+01,3.765999999999999659e+01,1.000000000000000000e+01
5.800000000000000000e+01,6.480041503131390357e+01,3.788000000000000256e+01,1.000000000000000000e+01
5.900000000000000000e+01,6.481781630280416096e+01,3.797999999999999687e+01,1.000000000000000000e+01
6.000000000000000000e+01,6.508129925989925368e+01,3.803999999999999915e+01,1.000000000000000000e+01
6.100000000000000000e+01,6.409322899415771246e+01,3.829999999999999716e+01,1.000000000000000000e+01
6.200000000000000000e+01,6.353270697380170873e+01,3.849000000000000199e+01,1.000000000000000000e+01
6.300000000000000000e+01,6.333983238123442305e+01,3.861999999999999744e+01,1.000000000000000000e+01
6.400000000000000000e+01,6.314206922007527112e+01,3.875000000000000000e+01,1.000000000000000000e+01
6.500000000000000000e+01,6.312682519543805171e+01,3.885000000000000142e+01,1.000000000000000000e+01
6.600000000000000000e+01,6.254564201129904433e+01,3.903999999999999915e+01,1.000000000000000000e+01
6.700000000000000000e+01,6.251953658956664128e+01,3.914000000000000057e+01,1.000000000000000000e+01
6.800000000000000000e+01,6.211487255632541604e+01,3.929999999999999716e+01,1.000000000000000000e+01
6.900000000000000000e+01,6.170422211461800543e+01,3.946000000000000085e+01,1.000000000000000000e+01
7.000000000000000000e+01,6.085031872579598655e+01,3.968999999999999773e+01,1.000000000000000000e+01
7.100000000000000000e+01,6.104970624638684029e+01,3.975000000000000000e+01,1.000000000000000000e+01
7.200000000000000000e+01,6.143419942519293642e+01,3.978000000000000114e+01,1.000000000000000000e+01
7.300000000000000000e+01,6.075566076752940603e+01,3.997999999999999687e+01,1.000000000000000000e+01
7.400000000000000000e+01,6.094416652186444594e+01,4.003999999999999915e+01,1.000000000000000000e+01
7.500000000000000000e+01,6.050574351140758012e+01,4.020000000000000284e+01,1.000000000000000000e+01
7.600000000000000000e+01,6.043613139694760861e+01,4.029999999999999716e+01,1.000000000000000000e+01
7.700000000000000000e+01,6.080000867378373641e+01,4.032999999999999829e+01,1.000000000000000000e+01
7.800000000000000000e+01,6.072549214960045560e+01,4.042999999999999972e+01,1.000000000000000000e+01
7.900000000000000000e+01,6.008505909682195067e+01,4.061999999999999744e+01,1.000000000000000000e+01
8.000000000000000000e+01,6.018709793341592018e+01,4.068999999999999773e+01,1.000000000000000000e+01
8.100000000000000000e+01,5.972430224040508762e+01,4.085000000000000142e+01,1.000000000000000000e+01
8.200000000000000000e+01,6.006756814140313594e+01,4.088000000000000256e+01,1.000000000000000000e+01
8.300000000000000000e+01,5.997242666372880393e+01,4.097999999999999687e+01,1.000000000000000000e+01
8.400000000000000000e+01,5.993601574410060806e+01,4.107000000000000028e+01,1.000000000000000000e+01
8.500000000000000000e+01,5.983376286071736416e+01,4.117000000000000171e+01,1.000000000000000000e+01
8.600000000000000000e+01,5.954036812262535960e+01,4.129999999999999716e+01,1.000000000000000000e+01
8.700000000000000000e+01,6.024154052435522999e+01,4.127000000000000313e+01,1.000000000000000000e+01
8.800000000000000000e+01,6.019422520888467432e+01,4.135999999999999943e+01,1.000000000000000000e+01
