t,MV,PV,DV
0.000000000000000000e+00,3.000000000000000000e+01,3.771999999999999886e+01,5.000000000000000000e+01
1.000000000000000000e+00,3.000000000000000000e+01,3.778999999999999915e+01,5.000000000000000000e+01
2.000000000000000000e+00,3.000000000000000000e+01,3.778999999999999915e+01,5.000000000000000000e+01
3.000000000000000000e+00,3.000000000000000000e+01,3.782000000000000028e+01,5.000000000000000000e+01
4.000000000000000000e+00,3.000000000000000000e+01,3.778999999999999915e+01,5.000000000000000000e+01
5.000000000000000000e+00,3.000000000000000000e+01,3.775000000000000000e+01,5.000000000000000000e+01
6.000000000000000000e+00,3.000000000000000000e+01,3.788000000000000256e+01,5.000000000000000000e+01
7.000000000000000000e+00,3.000000000000000000e+01,3.788000000000000256e+01,5.000000000000000000e+01
8.000000000000000000e+00,3.000000000000000000e+01,3.775000000000000000e+01,5.000000000000000000e+01
9.000000000000000000e+00,3.000000000000000000e+01,3.797999999999999687e+01,5.000000000000000000e+01
1.000000000000000000e+01,7.000000000000000000e+01,3.800999999999999801e+01,5.000000000000000000e+01
1.100000000000000000e+01,7.000000000000000000e+01,3.814000000000000057e+01,5.000000000000000000e+01
1.200000000000000000e+01,7.000000000000000000e+01,3.810999999999999943e+01,5.000000000000000000e+01
1.300000000000000000e+01,7.000000000000000000e+01,3.814000000000000057e+01,5.000000000000000000e+01
1.400000000000000000e+01,7.000000000000000000e+01,3.824000000000000199e+01,5.000000000000000000e+01
1.500000000000000000e+01,7.000000000000000000e+01,3.827000000000000313e+01,5.000000000000000000e+01
1.600000000000000000e+01,7.000000000000000000e+01,3.824000000000000199e+01,5.000000000000000000e+01
1.700000000000000000e+01,7.000000000000000000e+01,3.836999999999999744e+01,5.000000000000000000e+01
1.800000000000000000e+01,7.000000000000000000e+01,3.836999999999999744e+01,5.000000000000000000e+01
1.900000000000000000e+01,7.000000000000000000e+01,3.846000000000000085e+01,5.000000000000000000e+01
2.000000000000000000e+01,7.000000000000000000e+01,3.856000000000000227e+01,5.000000000000000000e+01
2.100000000000000000e+01,7.000000000000000000e+01,3.871999999999999886e+01,5.000000000000000000e+01
2.200000000000000000e+01,7.000000000000000000e+01,3.875000000000000000e+01,5.000000000000000000e+01
2.300000000000000000e+01,7.000000000000000000e+01,3.888000000000000256e+01,5.000000000000000000e+01
2.400000000000000000e+01,7.000000000000000000e+01,3.910999999999999943e+01,5.000000000000000000e+01
2.500000000000000000e+01,7.000000000000000000e+01,3.927000000000000313e+01,5.000000000000000000e+01
2.600000000000000000e+01,7.000000000000000000e+01,3.927000000000000313e+01,5.000000000000000000e+01
2.700000000000000000e+01,7.000000000000000000e+01,3.939999999999999858e+01,5.000000000000000000e+01
2.800000000000000000e+01,7.000000000000000000e+01,3.946000000000000085e+01,5.000000000000000000e+01
2.900000000000000000e+01,7.000000000000000000e+01,3.949000000000000199e+01,5.000000000000000000e+01
3.000000000000000000e+01,7.000000000000000000e+01,3.961999999999999744e+01,5.000000000000000000e+01
3.100000000000000000e+01,7.000000000000000000e+01,3.982000000000000028e+01,5.000000000000000000e+01
3.200000000000000000e+01,7.000000000000000000e+01,3.982000000000000028e+01,5.000000000000000000e+01
3.300000000000000000e+01,7.000000000000000000e+01,4.014000000000000057e+01,5.000000000000000000e+01
3.400000000000000000e+01,7.000000000000000000e+01,4.014000000000000057e+01,5.000000000000000000e+01
3.500000000000000000e+01,7.000000000000000000e+01,4.014000000000000057e+01,5.000000000000000000e+01
3.600000000000000000e+01,7.000000000000000000e+01,4.032999999999999829e+01,5.000000000000000000e+01
3.700000000000000000e+01,7.000000000000000000e+01,4.052000000000000313e+01,5.000000000000000000e+01
