t,MV,PV,DV
0.000000000000000000e+00,3.840900856074694047e+01,2.448000000000000043e+01,1.000000000000000000e+01
1.000000000000000000e+00,3.839908827054695450e+01,2.467000000000000171e+01,1.000000000000000000e+01
2.000000000000000000e+00,3.875409379174929825e+01,2.457000000000000028e+01,1.000000000000000000e+01
3.000000000000000000e+00,3.885814435417981372e+01,2.467000000000000171e+01,1.000000000000000000e+01
4.000000000000000000e+00,3.917539122673048979e+01,2.460000000000000142e+01,1.000000000000000000e+01
5.000000000000000000e+00,3.927921650184247682e+01,2.469999999999999929e+01,1.000000000000000000e+01
6.000000000000000000e+00,3.942004860672781774e+01,2.476999999999999957e+01,1.000000000000000000e+01
7.000000000000000000e+00,3.953518075184851455e+01,2.485999999999999943e+01,1.000000000000000000e+01
8.000000000000000000e+00,3.980065222596940089e+01,2.482999999999999829e+01,1.000000000000000000e+01
9.000000000000000000e+00,4.079402376580598144e+01,2.501999999999999957e+01,1.000000000000000000e+01
1.000000000000000000e+01,4.216125515174707772e+01,2.485999999999999943e+01,1.000000000000000000e+01
1.100000000000000000e+01,4.294019730882972397e+01,2.512000000000000099e+01,1.000000000000000000e+01
1.200000000000000000e+01,4.398743664762390893e+01,2.512000000000000099e+01,1.000000000000000000e+01
1.300000000000000000e+01,4.478003919543645139e+01,2.528000000000000114e+01,1.000000000000000000e+01
1.400000000000000000e+01,4.552163018420986162e+01,2.544000000000000128e+01,1.000000000000000000e+01
1.500000000000000000e+01,4.645454744051269813e+01,2.541000000000000014e+01,1.000000000000000000e+01
1.600000000000000000e+01,4.701692171181367286e+01,2.564000000000000057e+01,1.000000000000000000e+01
1.700000000000000000e+01,4.775078503655095830e+01,2.569999999999999929e+01,1.000000000000000000e+01
1.800000000000000000e+01,4.835800861770201209e+01,2.582999999999999829e+01,1.000000000000000000e+01
1.900000000000000000e+01,4.892864022807450652e+01,2.596000000000000085e+01,1.000000000000000000e+01
2.000000000000000000e+01,4.951532734975621253e+01,2.605000000000000071e+01,1.000000000000000000e+01
2.100000000000000000e+01,5.001985264586029700e+01,2.617999999999999972e+01,1.000000000000000000e+01
2.200000000000000000e+01,5.040618388941663852e+01,2.637999999999999901e+01,1.000000000000000000e+01
2.300000000000000000e+01,5.090221091834591505e+01,2.646999999999999886e+01,1.000000000000000000e+01
2.400000000000000000e+01,5.123365666229705084e+01,2.667000000000000171e+01,1.000000000000000000e+01
2.500000000000000000e+01,5.171597412129042937e+01,2.673000000000000043e+01,1.000000000000000000e+01
2.600000000000000000e+01,5.212522720461578274e+01,2.682999999999999829e+01,1.000000000000000000e+01
2.700000000000000000e+01,5.231154839893892472e+01,2.708999999999999986e+01,1.000000000000000000e+01
2.800000000000000000e+01,5.260229193333081810e+01,2.725000000000000000e+01,1.000000000000000000e+01
2.900000000000000000e+01,5.291137081008838550e+01,2.737999999999999901e+01,1.000000000000000000e+01
3.000000000000000000e+01,5.321502654084967787e+01,2.750000000000000000e+01,1.000000000000000000e+01
3.100000000000000000e+01,5.340117651979845448e+01,2.769999999999999929e+01,1.000000000000000000e+01
3.200000000000000000e+01,5.362127183501429784e+01,2.785999999999999943e+01,1.000000000000000000e+01
3.300000000000000000e+01,5.378848113341958026e+01,2.805000000000000071e+01,1.000000000000000000e+01
3.400000000000000000e+01,5.392865395387403282e+01,2.825000000000000000e+01,1.000000000000000000e+01
3.500000000000000000e+01,5.426908605179762191e+01,2.828000000000000114e+01,1.000000000000000000e+01
3.600000000000000000e+01,5.430844881507209720e+01,2.853999999999999915e+01,1.000000000000000000e+01
3.700000000000000000e+01,5.462466515296449643e+01,2.857000000000000028e+01,1.000000000000000000e+01
3.800000000000000000e+01,5.480484185479351567e+01,2.869999999999999929e+01,1.000000000000000000e+01
3.900000000000000000e+01,5.489922371134703383e+01,2.889000000000000057e+01,1.000000000000000000e+01
4.000000000000000000e+01,5.498346866627068152e+01,2.907999999999999829e+01,1.000000000000000000e+01
4.100000000000000000e+01,5.520915705742019952e+01,2.914999999999999858e+01,1.000000000000000000e+01
4.200000000000000000e+01,5.527568130967894433e+01,2.933999999999999986e+01,1.000000000000000000e+01
4.300000000000000000e+01,5.524556384081732574e+01,2.960000000000000142e+01,1.000000000000000000e+01
4.400000000000000000e+01,5.549628118729252435e+01,2.962999999999999901e+01,1.000000000000000000e+01
4.500000000000000000e+01,5.552659450608837233e+01,2.982999999999999829e+01,1.000000000000000000e+01
4.600000000000000000e+01,5.568801761444650822e+01,2.992000000000000171e+01,1.000000000000000000e+01
4.700000000000000000e+01,5.566712471422268749e+01,3.014999999999999858e+01,1.000000000000000000e+01
