t,MV,PV,DV
8.900000000000000000e+01,5.886159683079933558e+01,4.488000000000000256e+01,1.000000000000000000e+01
9.000000000000000000e+01,5.867891360605025142e+01,4.496999999999999886e+01,1.000000000000000000e+01
9.100000000000000000e+01,5.805562279584082575e+01,4.513000000000000256e+01,1.000000000000000000e+01
9.200000000000000000e+01,5.761374196793952507e+01,4.525999999999999801e+01,1.000000000000000000e+01
9.300000000000000000e+01,5.779162644918290681e+01,4.528999999999999915e+01,1.000000000000000000e+01
9.400000000000000000e+01,5.771850446635006193e+01,4.535999999999999943e+01,1.000000000000000000e+01
9.500000000000000000e+01,5.870466658927406201e+01,4.525999999999999801e+01,1.000000000000000000e+01
9.600000000000000000e+01,5.744581071694791774e+01,4.552000000000000313e+01,1.000000000000000000e+01
9.700000000000000000e+01,5.742658051258678142e+01,4.557999999999999829e+01,1.000000000000000000e+01
9.800000000000000000e+01,5.752998447067435706e+01,4.561999999999999744e+01,1.000000000000000000e+01
9.900000000000000000e+01,5.788174273901630329e+01,4.561999999999999744e+01,1.000000000000000000e+01
1.000000000000000000e+02,5.723405661518133059e+01,4.578000000000000114e+01,1.000000000000000000e+01
1.010000000000000000e+02,5.658040671477674977e+01,4.593999999999999773e+01,1.000000000000000000e+01
1.020000000000000000e+02,5.710758629463712310e+01,4.590999999999999659e+01,1.000000000000000000e+01
1.030000000000000000e+02,5.707366549374522435e+01,4.596999999999999886e+01,1.000000000000000000e+01
1.040000000000000000e+02,5.641286797750482407e+01,4.613000000000000256e+01,1.000000000000000000e+01
1.050000000000000000e+02,5.630827548529953219e+01,4.620000000000000284e+01,1.000000000000000000e+01
1.060000000000000000e+02,5.688814942728998858e+01,4.615999999999999659e+01,1.000000000000000000e+01
1.070000000000000000e+02,5.696978080084989671e+01,4.620000000000000284e+01,1.000000000000000000e+01
1.080000000000000000e+02,5.673760673846787483e+01,4.628999999999999915e+01,1.000000000000000000e+01
1.090000000000000000e+02,5.662699841744462503e+01,4.635999999999999943e+01,1.000000000000000000e+01
1.100000000000000000e+02,5.638883115896609155e+01,4.645000000000000284e+01,1.000000000000000000e+01
1.110000000000000000e+02,5.627222285157624526e+01,4.652000000000000313e+01,1.000000000000000000e+01
1.120000000000000000e+02,5.640284385876548612e+01,4.654999999999999716e+01,1.000000000000000000e+01
1.130000000000000000e+02,5.553289547628768474e+01,4.674000000000000199e+01,1.000000000000000000e+01
1.140000000000000000e+02,5.621747603759111200e+01,4.667999999999999972e+01,1.000000000000000000e+01
1.150000000000000000e+02,5.509277346378912910e+01,4.690999999999999659e+01,1.000000000000000000e+01
1.160000000000000000e+02,5.564605867373891357e+01,4.686999999999999744e+01,1.000000000000000000e+01
1.170000000000000000e+02,5.470162976860030568e+01,4.707000000000000028e+01,1.000000000000000000e+01
1.180000000000000000e+02,5.499904936780121290e+01,4.707000000000000028e+01,1.000000000000000000e+01
1.190000000000000000e+02,5.510902957987295281e+01,4.710000000000000142e+01,1.000000000000000000e+01
1.200000000000000000e+02,5.459324449511352384e+01,4.722999999999999687e+01,1.000000000000000000e+01
1.210000000000000000e+02,5.488464826623888371e+01,4.722999999999999687e+01,1.000000000000000000e+01
1.220000000000000000e+02,5.480123436497811440e+01,4.728999999999999915e+01,1.000000000000000000e+01
1.230000000000000000e+02,5.590241351211422227e+01,4.715999999999999659e+01,1.000000000000000000e+01
1.240000000000000000e+02,5.494708926149943551e+01,4.735999999999999943e+01,1.000000000000000000e+01
1.250000000000000000e+02,5.523363388421970654e+01,4.735999999999999943e+01,1.000000000000000000e+01
1.260000000000000000e+02,5.576999208154879284e+01,4.732000000000000028e+01,1.000000000000000000e+01
1.270000000000000000e+02,5.543333529929699210e+01,4.742000000000000171e+01,1.000000000000000000e+01
1.280000000000000000e+02,5.528035433529990428e+01,4.749000000000000199e+01,1.000000000000000000e+01
1.290000000000000000e+02,5.518720629758253438e+01,4.754999999999999716e+01,1.000000000000000000e+01
1.300000000000000000e+02,5.527920012762989899e+01,4.757999999999999829e+01,1.000000000000000000e+01
1.310000000000000000e+02,5.574485042294124071e+01,4.754999999999999716e+01,1.000000000000000000e+01
1.320000000000000000e+02,5.521217679718656512e+01,4.767999999999999972e+01,1.000000000000000000e+01
1.330000000000000000e+02,5.548670560546470654e+01,4.767999999999999972e+01,1.000000000000000000e+01
1.340000000000000000e+02,5.476176965471528035e+01,4.784000000000000341e+01,1.000000000000000000e+01
1.350000000000000000e+02,5.465551701379022376e+01,4.789999999999999858e+01,1.000000000000000000e+01
1.360000000000000000e+02,5.548396237842528222e+01,4.781000000000000227e+01,1.000000000000000000e+01
1.370000000000000000e+02,5.556617228291614197e+01,4.784000000000000341e+01,1.000000000000000000e+01
1.380000000000000000e+02,5.483524313318293508e+01,4.800000000000000000e+01,1.000000000000000000e+01
1.390000000000000000e+02,5.491038463203206277e+01,4.803000000000000114e+01,1.000000000000000000e+01
1.400000000000000000e+02,5.454711875253880038e+01,4.813000000000000256e+01,1.000000000000000000e+01
1.410000000000000000e+02,5.499215993565544380e+01,4.810000000000000142e+01,1.000000000000000000e+01
1.420000000000000000e+02,5.487611431748769064e+01,4.815999999999999659e+01,1.000000000000000000e+01
1.430000000000000000e+02,5.569480970230737427e+01,4.807000000000000028e+01,1.000000000000000000e+01
