t,MV,PV,DV
6.000000000000000000e+01,8.007615215068949510e+01,4.284000000000000341e+01,1.000000000000000000e+01
6.100000000000000000e+01,7.950154686463585563e+01,4.300999999999999801e+01,1.000000000000000000e+01
6.200000000000000000e+01,7.923092356186906215e+01,4.313000000000000256e+01,1.000000000000000000e+01
6.300000000000000000e+01,7.789202647163774884e+01,4.342000000000000171e+01,1.000000000000000000e+01
6.400000000000000000e+01,7.753998642977074951e+01,4.354999999999999716e+01,1.000000000000000000e+01
6.500000000000000000e+01,7.699401210801377715e+01,4.371000000000000085e+01,1.000000000000000000e+01
6.600000000000000000e+01,7.700270350600116842e+01,4.378000000000000114e+01,1.000000000000000000e+01
6.700000000000000000e+01,7.706978945037295148e+01,4.384000000000000341e+01,1.000000000000000000e+01
6.800000000000000000e+01,7.669603762696178251e+01,4.396999999999999886e+01,1.000000000000000000e+01
6.900000000000000000e+01,7.631618037453095837e+01,4.410000000000000142e+01,1.000000000000000000e+01
7.000000000000000000e+01,7.530563543653475733e+01,4.432999999999999829e+01,1.000000000000000000e+01
7.100000000000000000e+01,7.515990389186011100e+01,4.442000000000000171e+01,1.000000000000000000e+01
7.200000000000000000e+01,7.532206958097360427e+01,4.446000000000000085e+01,1.000000000000000000e+01
7.300000000000000000e+01,7.498205261301002622e+01,4.457999999999999829e+01,1.000000000000000000e+01
7.400000000000000000e+01,7.432433822335602258e+01,4.475000000000000000e+01,1.000000000000000000e+01
7.500000000000000000e+01,7.434653764771731232e+01,4.481000000000000227e+01,1.000000000000000000e+01
7.600000000000000000e+01,7.411582297689021459e+01,4.490999999999999659e+01,1.000000000000000000e+01
7.700000000000000000e+01,7.350584917713885602e+01,4.507000000000000028e+01,1.000000000000000000e+01
7.800000000000000000e+01,7.270181207339969376e+01,4.525999999999999801e+01,1.000000000000000000e+01
7.900000000000000000e+01,7.288945344904738022e+01,4.528999999999999915e+01,1.000000000000000000e+01
8.000000000000000000e+01,7.326273032532800755e+01,4.528999999999999915e+01,1.000000000000000000e+01
8.100000000000000000e+01,7.282340034554403019e+01,4.542000000000000171e+01,1.000000000000000000e+01
8.200000000000000000e+01,7.294088438650703665e+01,4.546000000000000085e+01,1.000000000000000000e+01
8.300000000000000000e+01,7.330621784101231242e+01,4.546000000000000085e+01,1.000000000000000000e+01
8.400000000000000000e+01,7.310890234343119687e+01,4.554999999999999716e+01,1.000000000000000000e+01
8.500000000000000000e+01,7.328259244316063814e+01,4.557999999999999829e+01,1.000000000000000000e+01
